id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7q8xVdmpBJHNOA6pZq1Hhw,They Will EP,Tell Me Are We,"Rampa, WhoMadeWho",False,53,0.62,0.863,6,-8.327,1,0.0377,0.00158,0.705,0.113,0.1,121.995,audio_features,spotify:track:7q8xVdmpBJHNOA6pZq1Hhw,https://api.spotify.com/v1/tracks/7q8xVdmpBJHNOA6pZq1Hhw,https://api.spotify.com/v1/audio-analysis/7q8xVdmpBJHNOA6pZq1Hhw,6.888583333333333,4
0GOxBVl062KmJt4Spnvjuu,Resolve,Resolve,Colyn,False,44,0.781,0.555,6,-10.598,0,0.0464,0.0149,0.943,0.0921,0.175,123.015,audio_features,spotify:track:0GOxBVl062KmJt4Spnvjuu,https://api.spotify.com/v1/tracks/0GOxBVl062KmJt4Spnvjuu,https://api.spotify.com/v1/audio-analysis/0GOxBVl062KmJt4Spnvjuu,7.38045,4
1NB8HcUSulY9WexgXms8ff,Forest Of Lies EP,Dream Vision,Agents Of Time,False,40,0.71,0.817,5,-8.785,0,0.0463,0.00831,0.895,0.129,0.255,124.997,audio_features,spotify:track:1NB8HcUSulY9WexgXms8ff,https://api.spotify.com/v1/tracks/1NB8HcUSulY9WexgXms8ff,https://api.spotify.com/v1/audio-analysis/1NB8HcUSulY9WexgXms8ff,6.416666666666667,4
3w0NSQwB6Tj2tJfcHAIRCL,Away With Me (Fideles Remix),Away With Me - Fideles Remix,"Ross Quinn, Fideles",False,57,0.604,0.738,5,-9.1,1,0.0334,0.0278,0.595,0.114,0.0578,123.963,audio_features,spotify:track:3w0NSQwB6Tj2tJfcHAIRCL,https://api.spotify.com/v1/tracks/3w0NSQwB6Tj2tJfcHAIRCL,https://api.spotify.com/v1/audio-analysis/3w0NSQwB6Tj2tJfcHAIRCL,4.060883333333333,4
6HKzOWJV6prmpMuu6i3MYV,Concepts of Love,Concepts of Love,Colyn,False,39,0.808,0.654,2,-9.76,1,0.0443,0.264,0.92,0.106,0.246,123.99,audio_features,spotify:track:6HKzOWJV6prmpMuu6i3MYV,https://api.spotify.com/v1/tracks/6HKzOWJV6prmpMuu6i3MYV,https://api.spotify.com/v1/audio-analysis/6HKzOWJV6prmpMuu6i3MYV,7.975783333333333,4
5RRW8mTdeutSNYSmV4om5C,Keep Control (ARTBAT Remix),Keep Control - ARTBAT Remix,"Sono, ARTBAT",False,44,0.769,0.762,7,-9.669,1,0.0758,0.0151,0.78,0.0748,0.119,123.003,audio_features,spotify:track:5RRW8mTdeutSNYSmV4om5C,https://api.spotify.com/v1/tracks/5RRW8mTdeutSNYSmV4om5C,https://api.spotify.com/v1/audio-analysis/5RRW8mTdeutSNYSmV4om5C,8.065033333333334,4
01mTrac137TL0EgIktc4fo,Nobody Is Not Loved,Home,Solomun,False,57,0.679,0.707,2,-11.453,1,0.04,0.00634,0.855,0.18,0.258,120.007,audio_features,spotify:track:01mTrac137TL0EgIktc4fo,https://api.spotify.com/v1/tracks/01mTrac137TL0EgIktc4fo,https://api.spotify.com/v1/audio-analysis/01mTrac137TL0EgIktc4fo,3.68485,4
3fdXEMBTjHNJ5Bug5c7rZi,Nude Remixes,Mystery - Tale Of Us & Mathame Remix,"Adriatique, Mathame, Tale Of Us",False,54,0.728,0.579,5,-9.778,0,0.0525,0.017,0.682,0.0654,0.0367,124.005,audio_features,spotify:track:3fdXEMBTjHNJ5Bug5c7rZi,https://api.spotify.com/v1/tracks/3fdXEMBTjHNJ5Bug5c7rZi,https://api.spotify.com/v1/audio-analysis/3fdXEMBTjHNJ5Bug5c7rZi,7.07385,4
5H95n43z0KFcXGCEc0ewe1,Pieces,Pieces,AVAION,False,74,0.7,0.271,4,-13.316,1,0.062,0.872,0.322,0.1,0.198,120.015,audio_features,spotify:track:5H95n43z0KFcXGCEc0ewe1,https://api.spotify.com/v1/tracks/5H95n43z0KFcXGCEc0ewe1,https://api.spotify.com/v1/audio-analysis/5H95n43z0KFcXGCEc0ewe1,3.27355,4
7n8sDrEcuMt0yezLDhIbnN,Come Together / Naturish,Come Together,"Nox Vahn, Marsh",False,58,0.306,0.851,7,-10.907,1,0.056,0.00254,0.212,0.355,0.0392,79.465,audio_features,spotify:track:7n8sDrEcuMt0yezLDhIbnN,https://api.spotify.com/v1/tracks/7n8sDrEcuMt0yezLDhIbnN,https://api.spotify.com/v1/audio-analysis/7n8sDrEcuMt0yezLDhIbnN,3.702366666666667,3
6j0ao2DgHem5dpnGeHwufi,Walking Away,Walking Away,Mind Against,False,50,0.636,0.519,1,-10.363,1,0.0581,0.00305,0.847,0.0933,0.0686,119.995,audio_features,spotify:track:6j0ao2DgHem5dpnGeHwufi,https://api.spotify.com/v1/tracks/6j0ao2DgHem5dpnGeHwufi,https://api.spotify.com/v1/audio-analysis/6j0ao2DgHem5dpnGeHwufi,7.09845,4
25ZrGWzFc0Trv3024g9BSg,Breathing,Lost In Mind,"Ben Böhmer, Malou",False,56,0.689,0.705,10,-12.4,0,0.0452,0.186,0.712,0.0864,0.258,123.999,audio_features,spotify:track:25ZrGWzFc0Trv3024g9BSg,https://api.spotify.com/v1/tracks/25ZrGWzFc0Trv3024g9BSg,https://api.spotify.com/v1/audio-analysis/25ZrGWzFc0Trv3024g9BSg,3.5097833333333335,4
3nQPkePHredC24hsQBmlbj,Best of Me (Radio Edit),Best of Me - Radio Edit,"ARTBAT, Sailor & I",False,2,0.552,0.944,4,-7.918,0,0.0623,0.00202,0.333,0.256,0.0384,124.97,audio_features,spotify:track:3nQPkePHredC24hsQBmlbj,https://api.spotify.com/v1/tracks/3nQPkePHredC24hsQBmlbj,https://api.spotify.com/v1/audio-analysis/3nQPkePHredC24hsQBmlbj,3.824,4
6DuTXPpowLA1vk8fzqaLtB,Nothing Around Us,Nothing Around Us,"Mathame, Lyke",False,54,0.589,0.889,10,-7.62,0,0.0358,0.00369,0.165,0.127,0.309,124.988,audio_features,spotify:track:6DuTXPpowLA1vk8fzqaLtB,https://api.spotify.com/v1/tracks/6DuTXPpowLA1vk8fzqaLtB,https://api.spotify.com/v1/audio-analysis/6DuTXPpowLA1vk8fzqaLtB,5.76,4
2TyyNtsIxpQiigEqFZZ6a0,Flame,Flame,ARTBAT,False,43,0.635,0.912,4,-6.881,0,0.0686,0.00443,0.801,0.299,0.0369,127.008,audio_features,spotify:track:2TyyNtsIxpQiigEqFZZ6a0,https://api.spotify.com/v1/tracks/2TyyNtsIxpQiigEqFZZ6a0,https://api.spotify.com/v1/audio-analysis/2TyyNtsIxpQiigEqFZZ6a0,7.685033333333333,4
1amfDxySvja0PP6LjosvNB,The Mirage EP,The Mirage,Agents Of Time,False,55,0.724,0.866,10,-7.028,0,0.0448,0.0658,0.923,0.103,0.525,126.0,audio_features,spotify:track:1amfDxySvja0PP6LjosvNB,https://api.spotify.com/v1/tracks/1amfDxySvja0PP6LjosvNB,https://api.spotify.com/v1/audio-analysis/1amfDxySvja0PP6LjosvNB,6.198383333333333,4
4d2Gndzn9dnmUC8jIzI9d4,Time (feat. Jules Buckley),Time - feat. Jules Buckley,"Tale Of Us, Pete Tong, Jules Buckley",False,59,0.555,0.834,4,-11.908,0,0.0381,0.00198,0.88,0.0821,0.0404,126.0,audio_features,spotify:track:4d2Gndzn9dnmUC8jIzI9d4,https://api.spotify.com/v1/tracks/4d2Gndzn9dnmUC8jIzI9d4,https://api.spotify.com/v1/audio-analysis/4d2Gndzn9dnmUC8jIzI9d4,5.183116666666667,4
