name,artist,valence,mode,tempo,loudness,popularity,id
No Buses,Arctic Monkeys,0.425,1,101.883,-9.051,65,6mOiT65GFmXgBAviM3lrsE
The Adults Are Talking,The Strokes,0.649,1,164.959,-5.67,81,5ruzrDWcT0vuJIOMW7gMnW
The Look,Metronomy,0.504,0,84.947,-7.792,75,6zfczP87XO2SxWlQtnjFNa
cómo dormiste?,Rels B,0.565,1,126.426,-8.255,84,3fjN3y5x4hN53rykAN2LHQ
Tate (How I Feel),Fred again..,0.64,1,125.197,-8.228,63,521n5wagIZ1522mA2ynHDL
Chicago,Michael Jackson,0.55,0,176.086,-2.675,80,5BKKy9fIJL5uM9fz1SnqyP
Cola,"CamelPhat, Elderbrook",0.444,1,122.007,-7.904,73,1HrMWH5GUdK6Yi94rbANJA
Un couteau dans le cœur - Reprise,M83,0.426,1,94.988,-12.445,16,5Q3hCgz5V5TiF26GgJBSPo
HONEST,Baby Keem,0.373,1,79.037,-8.79,84,58k32my5lKofeZRtIvBDg9
Hannah (The Sun),Fred again..,0.401,1,125.018,-4.581,63,4AGwu2Zn3sYmR2s2y3vfft
Don't Fuck This Up,"Andrew Applepie, Ed Prosek",0.469,1,143.77,-7.717,36,4tjxC5EVdIDHmJv1aHJbqo
Marijuana,Chrome Sparks,0.415,0,86.969,-9.781,0,1RiuVQWyC7g7tL3niYzHKP
The Cut Off (feat. kiLL edward),"J. Cole, kiLL edward",0.336,1,78.168,-7.979,58,3rFF7kSm5qBOOPs6ljFgPp
Lejos de Ti,Rels B,0.358,1,100.955,-10.866,0,1rDxSDjpyc0qBsWzWW7OnA
Nobody Wants You,junodream,0.399,1,159.971,-6.353,58,2dQsITxA8aFKL3pGW14TqG
Homer el Mero Mero,El Triangulo Estudio,0.482,1,173.568,-12.189,55,1V6KZnJeDj25lYJdqDoydT
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",0.518,0,109.942,-9.516,78,2cGxRwrMyEAp8dEbuZaVv6
Tate (How I Feel),Fred again..,0.64,1,125.197,-8.228,35,2RjE7qBU2ntkgq4AuOaaBN
Earfquake,Justice Der,0.548,0,148.484,-19.808,41,14XnWy5pmR1hEjc37AZfad
It's up to Me,"Chaos In The CBD, Lee Pearson Jr. Collective, K LaDawn, Joe Armon-Jones",0.507,0,125.029,-13.436,46,0DKoGYBIfxb7PYz9FKu4fx
highway 95,Baby Keem,0.425,1,84.944,-5.322,74,2E4INiVkDRBXXkFL4kB1Vk
Wet Dreamz,J. Cole,0.539,0,175.627,-8.108,86,4tqcoej1zPvwePZCzuAjJd
No Role Modelz,J. Cole,0.494,0,100.028,-8.492,91,68Dni7IE4VyPkTOH9mRWHr
My Type,Saint Motel,0.567,1,118.001,-2.951,72,2Iq6HhIquO7JKr0KfTNLzU
Nights,Frank Ocean,0.428,0,89.87,-9.36,81,7eqoqGkKwgOaWNNHx90uEZ
Circles,Mac Miller,0.37,1,151.964,-15.186,71,4jXl6VtkFFKIt3ycUQc5LT
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",0.555,0,77.011,-4.424,83,3CIyK1V4JEJkg02E4EJnDl
Midnight Pretenders,Tomoko Aran,0.559,0,92.864,-14.937,61,0JUWF44gfMszGNhjCF7Ufs
What's the Use?,Mac Miller,0.561,0,104.974,-10.338,73,2dgrYdgguVZKeCsrVb9XEs
PRIDE.,Kendrick Lamar,0.37,0,138.842,-7.056,86,6IZvVAP7VPPnsGX6bvgkqg
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",0.518,0,109.942,-9.516,78,2cGxRwrMyEAp8dEbuZaVv6
Tripasia,"Cloonee, Brisotti",0.559,1,128.003,-7.936,57,365aB2RegILTAZqCEgmkUc
No_se_ve.mp3,"Emilia, LUDMILLA, ZECCA",0.545,0,131.986,-5.185,85,2iIBpwP4FyQ95xgVail3yr
Flowers,Miley Cyrus,0.646,1,117.999,-4.325,97,0yLdNVWF3Srea0uzk55zFn
KILO,"The Martinez Brothers, Tokischa",0.505,0,130.018,-5.749,51,5OTSZ0D28LQQ7eyQBVykFM
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",0.55,1,128.033,-5.548,93,2tTmW7RDtMQtBk7m2rYeSw
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,"CKay, Dj Yo!, AX'EL",0.443,1,119.9,-4.823,79,4gvrJnKCKIPiacNsWVQwEU
What They Want,Russ,0.398,0,139.553,-10.04,75,3pndPhlQWjuSoXhcIIdBjv
