name,artist,valence,mode,tempo,loudness,popularity,id
Your Love - Agents of Time Remix,"RY X, Agents Of Time",0.312,1,124.989,-6.515,41,3dZ7Xexqt0O3mx2hhTfYri
Lose Your Senses,Cubicolor,0.0556,0,121.988,-11.716,47,4UGtoN1j6i8gtMb64Y2cDY
Kyle (I Found You),Fred again..,0.215,0,112.023,-9.105,70,6Ao5d7TMQ92h87jQqSHGyw
Drops,Jungle,0.179,1,107.992,-14.281,63,4UKLxwpHwszcIC3gQpkD1i
What's It Gonna Take,"Chrome Sparks, Angelica Bess",0.0542,0,120.007,-6.844,25,6FMpq9zf0roW5kL2vuSIpJ
Under The Sun (with J. Cole & Lute feat. DaBaby),"Dreamville, J. Cole, Lute, DaBaby",0.163,1,138.672,-6.441,76,6MF4tRr5lU8qok8IKaFOBE
t h e . c l i m b . b a c k,J. Cole,0.287,0,81.409,-9.447,65,0FlfN5cbUUpIHCRH8X1M44
Mockingbird,Eminem,0.254,1,84.039,-3.798,66,0JtIWgsblOvJfpoyhGkFuS
Train food,XXXTENTACION,0.23,0,137.453,-7.278,59,5lar0mCUejpILVkAz50s2J
Star Shopping,Lil Peep,0.323,0,93.099,-9.934,13,30bqVoKjX479ab90a8Pafp
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin, A$AP Rocky, Roisee",0.134,0,90.018,-7.812,67,2pXyyI27MjnkBnp1Ms0hE9
Would You Ever,"Skrillex, Poo Bear",0.0921,1,126.047,-3.36,62,57p8CBvPOxrvyCbn6ttl5r
Leave Me Like This,"Skrillex, Bobby Raps",0.233,1,124.977,-8.199,63,6NRvZuFXn2ixp8YdzUvG5n
"Recess (with Kill The Noise, Fatman Scoop, and Michael Angelakos)",Skrillex,0.132,0,104.018,-2.912,58,1RJZLVGpBG9nNZiHRQSWTp
Night After Night - CamelPhat Remix,"Fideles, CamelPhat, Be No Rain",0.0383,1,123.984,-7.887,62,2Nq06gpBMrjYnBLpi0cNYy
a m a r i,J. Cole,0.207,0,65.988,-6.173,76,2cnKST6T9qUo2i907lm8zX
Tequila Shots,Kid Cudi,0.22,0,90.494,-7.214,73,30KctD1WsHKTIYczXjip5a
Bleu (better with time),Fred again..,0.313,0,121.94,-8.821,2,42RIuav2MTQs3TEelnQDa3
The Sign,"CamelPhat, Anyma",0.0663,0,121.969,-7.316,69,0hjRzBuGh9qGGzcbW7xK12
The Age Of Love (Charlotte de Witte & Enrico Sangiuliano Remix),"Age Of Love, Charlotte de Witte, Enrico Sangiuliano",0.0576,0,130.004,-8.319,71,6R84ZlQF7gGkPB6o3GLZXB
The Feeling - 2022 Remaster,Massano,0.0352,0,123.983,-9.065,62,4ZhVRSxT1JP0SWp4VF0EL9
Is She Gon Pop,J. Cole,0.209,1,177.354,-8.597,59,41a70FyJAwtb8yui5Ljnpi
Make You Feel My Love,Adele,0.0997,1,72.416,-10.647,0,4T8bIyWapBftpSuQDp6vuz
All I Want,"Olivia Rodrigo, Disney",0.129,0,77.599,-6.585,75,1v6svH1Fyx9C1nIt1mA2DT
GHOST TOWN,Benson Boone,0.116,1,174.185,-10.064,78,135Lf4Q0CzlMNfOxbEUsLH
Car's Outside,James Arthur,0.259,1,149.907,-7.181,88,0otRX6Z89qKkHkQ9OqJpKt
In The Stars,Benson Boone,0.3,1,78.007,-6.031,86,1ei3hzQmrgealgRKFxIcWn
Those Eyes,New West,0.235,1,119.994,-8.033,6,5AbUJn9vjV9MZmSPl40V1V
Glimpse of Us,Joji,0.268,1,169.914,-9.258,86,6xGruZOHLs39ZbVccQTuPZ
If I Ain't Got You,Alicia Keys,0.166,1,118.402,-9.129,83,3XVBdLihbNbxUwZosxcGuJ
Carne y Hueso,TINI,0.28,1,142.093,-8.014,67,3yeFTYLMz4nOtyPXWEMKsW
Movie,Tom Misch,0.182,1,122.043,-11.446,4,6pxElwU80zhjbCC77Vn8EI
Skyfall,Adele,0.0789,0,75.881,-6.864,80,6VObnIkLVruX4UVyxWhlqm
you broke me first,Tate McRae,0.0823,1,124.148,-9.389,84,45bE4HXI0AwGZXfZtMp8JR
8 AM,"Nicki Nicole, Young Miko",0.314,0,94.033,-7.57,73,7CSmXJNeArnwDfUmtP4Gve
Coco Chanel,"Eladio Carrion, Bad Bunny",0.137,1,149.949,-5.995,92,0PB0O24JqAuNdOAFVJljMS
PAP (Pendiente Al Paso),"The Martinez Brothers, Fuego",0.287,0,126.009,-6.822,59,7HqtpURyE5eUVY2mMImqTX
