id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2pXyyI27MjnkBnp1Ms0hE9,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin, A$AP Rocky, Roisee",False,67,0.599,0.526,9,-7.812,0,0.0385,0.0408,0.00256,0.209,0.134,90.018,audio_features,spotify:track:2pXyyI27MjnkBnp1Ms0hE9,https://api.spotify.com/v1/tracks/2pXyyI27MjnkBnp1Ms0hE9,https://api.spotify.com/v1/audio-analysis/2pXyyI27MjnkBnp1Ms0hE9,4.2671166666666664,4
57p8CBvPOxrvyCbn6ttl5r,Would You Ever,Would You Ever,"Skrillex, Poo Bear",False,62,0.653,0.91,10,-3.36,1,0.0566,0.0079,0.0,0.318,0.0921,126.047,audio_features,spotify:track:57p8CBvPOxrvyCbn6ttl5r,https://api.spotify.com/v1/tracks/57p8CBvPOxrvyCbn6ttl5r,https://api.spotify.com/v1/audio-analysis/57p8CBvPOxrvyCbn6ttl5r,3.9047666666666667,4
2cGxRwrMyEAp8dEbuZaVv6,Random Access Memories,Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",False,78,0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,audio_features,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,https://api.spotify.com/v1/tracks/2cGxRwrMyEAp8dEbuZaVv6,https://api.spotify.com/v1/audio-analysis/2cGxRwrMyEAp8dEbuZaVv6,5.626,4
6NRvZuFXn2ixp8YdzUvG5n,Quest For Fire,Leave Me Like This,"Skrillex, Bobby Raps",False,63,0.671,0.84,1,-8.199,1,0.0581,0.00113,0.473,0.109,0.233,124.977,audio_features,spotify:track:6NRvZuFXn2ixp8YdzUvG5n,https://api.spotify.com/v1/tracks/6NRvZuFXn2ixp8YdzUvG5n,https://api.spotify.com/v1/audio-analysis/6NRvZuFXn2ixp8YdzUvG5n,3.14285,4
1RJZLVGpBG9nNZiHRQSWTp,Recess,"Recess (with Kill The Noise, Fatman Scoop, and Michael Angelakos)",Skrillex,False,58,0.658,0.93,5,-2.912,0,0.141,0.0236,0.0,0.578,0.132,104.018,audio_features,spotify:track:1RJZLVGpBG9nNZiHRQSWTp,https://api.spotify.com/v1/tracks/1RJZLVGpBG9nNZiHRQSWTp,https://api.spotify.com/v1/audio-analysis/1RJZLVGpBG9nNZiHRQSWTp,3.961333333333333,4
06h3McKzmxS8Bx58USHiMq,Silhouettes,Silhouettes - Original Radio Edit,Avicii,False,68,0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,audio_features,spotify:track:06h3McKzmxS8Bx58USHiMq,https://api.spotify.com/v1/tracks/06h3McKzmxS8Bx58USHiMq,https://api.spotify.com/v1/audio-analysis/06h3McKzmxS8Bx58USHiMq,3.5313333333333334,4
2Nq06gpBMrjYnBLpi0cNYy,Night After Night,Night After Night - CamelPhat Remix,"Fideles, CamelPhat, Be No Rain",False,62,0.767,0.7,2,-7.887,1,0.0597,0.0144,0.419,0.0946,0.0383,123.984,audio_features,spotify:track:2Nq06gpBMrjYnBLpi0cNYy,https://api.spotify.com/v1/tracks/2Nq06gpBMrjYnBLpi0cNYy,https://api.spotify.com/v1/audio-analysis/2Nq06gpBMrjYnBLpi0cNYy,6.975466666666667,4
2cnKST6T9qUo2i907lm8zX,The Off-Season,a m a r i,J. Cole,True,76,0.725,0.713,4,-6.173,0,0.187,0.127,0.0,0.617,0.207,65.988,audio_features,spotify:track:2cnKST6T9qUo2i907lm8zX,https://api.spotify.com/v1/tracks/2cnKST6T9qUo2i907lm8zX,https://api.spotify.com/v1/audio-analysis/2cnKST6T9qUo2i907lm8zX,2.4736833333333332,4
30KctD1WsHKTIYczXjip5a,Man On The Moon III: The Chosen,Tequila Shots,Kid Cudi,True,73,0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,audio_features,spotify:track:30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/tracks/30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/audio-analysis/30KctD1WsHKTIYczXjip5a,3.22155,4
2RjE7qBU2ntkgq4AuOaaBN,Tate (how i feel),Tate (How I Feel),Fred again..,True,35,0.781,0.765,0,-8.228,1,0.221,0.163,0.00112,0.903,0.64,125.197,audio_features,spotify:track:2RjE7qBU2ntkgq4AuOaaBN,https://api.spotify.com/v1/tracks/2RjE7qBU2ntkgq4AuOaaBN,https://api.spotify.com/v1/audio-analysis/2RjE7qBU2ntkgq4AuOaaBN,3.7041666666666666,4
