id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4T8bIyWapBftpSuQDp6vuz,19,Make You Feel My Love,Adele,False,0,0.325,0.18,10,-10.647,1,0.0311,0.91,0.000633,0.113,0.0997,72.416,audio_features,spotify:track:4T8bIyWapBftpSuQDp6vuz,https://api.spotify.com/v1/tracks/4T8bIyWapBftpSuQDp6vuz,https://api.spotify.com/v1/audio-analysis/4T8bIyWapBftpSuQDp6vuz,3.534,1
1v6svH1Fyx9C1nIt1mA2DT,High School Musical: The Musical: The Series (Original Soundtrack),All I Want,"Olivia Rodrigo, Disney",False,75,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,audio_features,spotify:track:1v6svH1Fyx9C1nIt1mA2DT,https://api.spotify.com/v1/tracks/1v6svH1Fyx9C1nIt1mA2DT,https://api.spotify.com/v1/audio-analysis/1v6svH1Fyx9C1nIt1mA2DT,2.9553833333333333,3
135Lf4Q0CzlMNfOxbEUsLH,GHOST TOWN,GHOST TOWN,Benson Boone,False,78,0.391,0.335,0,-10.064,1,0.0763,0.389,0.0,0.102,0.116,174.185,audio_features,spotify:track:135Lf4Q0CzlMNfOxbEUsLH,https://api.spotify.com/v1/tracks/135Lf4Q0CzlMNfOxbEUsLH,https://api.spotify.com/v1/audio-analysis/135Lf4Q0CzlMNfOxbEUsLH,3.2288833333333335,3
0otRX6Z89qKkHkQ9OqJpKt,YOU,Car's Outside,James Arthur,False,88,0.338,0.562,9,-7.181,1,0.029,0.039,0.0,0.107,0.259,149.907,audio_features,spotify:track:0otRX6Z89qKkHkQ9OqJpKt,https://api.spotify.com/v1/tracks/0otRX6Z89qKkHkQ9OqJpKt,https://api.spotify.com/v1/audio-analysis/0otRX6Z89qKkHkQ9OqJpKt,4.13955,4
1ei3hzQmrgealgRKFxIcWn,In The Stars,In The Stars,Benson Boone,False,86,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,audio_features,spotify:track:1ei3hzQmrgealgRKFxIcWn,https://api.spotify.com/v1/tracks/1ei3hzQmrgealgRKFxIcWn,https://api.spotify.com/v1/audio-analysis/1ei3hzQmrgealgRKFxIcWn,3.6068333333333333,3
5AbUJn9vjV9MZmSPl40V1V,Those Eyes Alternate Versions,Those Eyes,New West,False,6,0.601,0.352,4,-8.033,1,0.0282,0.726,3.63e-05,0.313,0.235,119.994,audio_features,spotify:track:5AbUJn9vjV9MZmSPl40V1V,https://api.spotify.com/v1/tracks/5AbUJn9vjV9MZmSPl40V1V,https://api.spotify.com/v1/audio-analysis/5AbUJn9vjV9MZmSPl40V1V,3.6791666666666667,3
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Glimpse of Us,Joji,False,86,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,audio_features,spotify:track:6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/audio-analysis/6xGruZOHLs39ZbVccQTuPZ,3.8909333333333334,3
3XVBdLihbNbxUwZosxcGuJ,The Diary Of Alicia Keys,If I Ain't Got You,Alicia Keys,False,83,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,audio_features,spotify:track:3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,3.8117833333333335,3
3yeFTYLMz4nOtyPXWEMKsW,Carne y Hueso,Carne y Hueso,TINI,False,67,0.582,0.382,7,-8.014,1,0.0471,0.71,0.0,0.303,0.28,142.093,audio_features,spotify:track:3yeFTYLMz4nOtyPXWEMKsW,https://api.spotify.com/v1/tracks/3yeFTYLMz4nOtyPXWEMKsW,https://api.spotify.com/v1/audio-analysis/3yeFTYLMz4nOtyPXWEMKsW,2.9718333333333335,4
6pxElwU80zhjbCC77Vn8EI,Geography,Movie,Tom Misch,False,4,0.785,0.379,7,-11.446,1,0.0732,0.391,0.0161,0.267,0.182,122.043,audio_features,spotify:track:6pxElwU80zhjbCC77Vn8EI,https://api.spotify.com/v1/tracks/6pxElwU80zhjbCC77Vn8EI,https://api.spotify.com/v1/audio-analysis/6pxElwU80zhjbCC77Vn8EI,5.95595,3
6VObnIkLVruX4UVyxWhlqm,Skyfall,Skyfall,Adele,False,80,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,audio_features,spotify:track:6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/tracks/6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/audio-analysis/6VObnIkLVruX4UVyxWhlqm,4.774666666666667,4
45bE4HXI0AwGZXfZtMp8JR,you broke me first,you broke me first,Tate McRae,True,84,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,audio_features,spotify:track:45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,2.8211,4
71L9EZo8OEaZINg75dBUSW,Hombres y Mujeres,Hombres y Mujeres,"Gordo, Feid",True,67,0.85,0.81,1,-5.015,1,0.0688,0.000445,0.00165,0.0541,0.818,130.024,audio_features,spotify:track:71L9EZo8OEaZINg75dBUSW,https://api.spotify.com/v1/tracks/71L9EZo8OEaZINg75dBUSW,https://api.spotify.com/v1/audio-analysis/71L9EZo8OEaZINg75dBUSW,2.4774,4
2cGxRwrMyEAp8dEbuZaVv6,Random Access Memories,Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",False,78,0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,audio_features,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,https://api.spotify.com/v1/tracks/2cGxRwrMyEAp8dEbuZaVv6,https://api.spotify.com/v1/audio-analysis/2cGxRwrMyEAp8dEbuZaVv6,5.626,4
7CSmXJNeArnwDfUmtP4Gve,8 AM,8 AM,"Nicki Nicole, Young Miko",True,73,0.678,0.44,11,-7.57,0,0.281,0.301,1.78e-06,0.113,0.314,94.033,audio_features,spotify:track:7CSmXJNeArnwDfUmtP4Gve,https://api.spotify.com/v1/tracks/7CSmXJNeArnwDfUmtP4Gve,https://api.spotify.com/v1/audio-analysis/7CSmXJNeArnwDfUmtP4Gve,2.46005,4
0PB0O24JqAuNdOAFVJljMS,3MEN2 KBRN,Coco Chanel,"Eladio Carrion, Bad Bunny",True,92,0.683,0.764,2,-5.995,1,0.0441,0.0427,0.0,0.0963,0.137,149.949,audio_features,spotify:track:0PB0O24JqAuNdOAFVJljMS,https://api.spotify.com/v1/tracks/0PB0O24JqAuNdOAFVJljMS,https://api.spotify.com/v1/audio-analysis/0PB0O24JqAuNdOAFVJljMS,2.672083333333333,4
6Y46tOTRhkBamosyuWa6YX,MOTOMAMI,LA FAMA,"ROSALÍA, The Weeknd",False,81,0.766,0.295,0,-7.893,0,0.0464,0.947,4.44e-05,0.119,0.805,136.016,audio_features,spotify:track:6Y46tOTRhkBamosyuWa6YX,https://api.spotify.com/v1/tracks/6Y46tOTRhkBamosyuWa6YX,https://api.spotify.com/v1/audio-analysis/6Y46tOTRhkBamosyuWa6YX,3.1351166666666668,4
365aB2RegILTAZqCEgmkUc,Tripasia,Tripasia,"Cloonee, Brisotti",False,57,0.844,0.772,7,-7.936,1,0.0924,0.0955,0.12,0.0757,0.559,128.003,audio_features,spotify:track:365aB2RegILTAZqCEgmkUc,https://api.spotify.com/v1/tracks/365aB2RegILTAZqCEgmkUc,https://api.spotify.com/v1/audio-analysis/365aB2RegILTAZqCEgmkUc,2.9465333333333334,4
2iIBpwP4FyQ95xgVail3yr,No_se_ve.mp3,No_se_ve.mp3,"Emilia, LUDMILLA, ZECCA",True,85,0.752,0.666,11,-5.185,0,0.0672,0.0971,1.62e-05,0.149,0.545,131.986,audio_features,spotify:track:2iIBpwP4FyQ95xgVail3yr,https://api.spotify.com/v1/tracks/2iIBpwP4FyQ95xgVail3yr,https://api.spotify.com/v1/audio-analysis/2iIBpwP4FyQ95xgVail3yr,3.3939333333333335,4
0OqoRBKlvRZarXZqE7AH7z,EL TONTO,EL TONTO,"Lola Indigo, Quevedo",False,77,0.801,0.801,0,-5.369,1,0.1,0.406,0.0,0.134,0.663,110.029,audio_features,spotify:track:0OqoRBKlvRZarXZqE7AH7z,https://api.spotify.com/v1/tracks/0OqoRBKlvRZarXZqE7AH7z,https://api.spotify.com/v1/audio-analysis/0OqoRBKlvRZarXZqE7AH7z,3.1348,4
3nfICwo20uiFdEGzgNUSrG,Formentera,Formentera,"Aitana, Nicki Nicole",False,75,0.781,0.645,1,-4.136,0,0.0399,0.0903,1.58e-06,0.226,0.803,128.007,audio_features,spotify:track:3nfICwo20uiFdEGzgNUSrG,https://api.spotify.com/v1/tracks/3nfICwo20uiFdEGzgNUSrG,https://api.spotify.com/v1/audio-analysis/3nfICwo20uiFdEGzgNUSrG,3.45555,4
